Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Lower middle income	LMC	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG		2.117101014	2.163163691	7.78184303	6.703967428	1.98209766	0.627809408	2.383819141	4.190688967	7.979441441	8.415501505	3.632411503	3.097582098	4.385562081	4.955067998	3.894918565	5.446798237	5.91824187	4.045361377	1.348518297	4.612950251	1.884987266	2.462377975	2.78113169	2.879337708	4.013396534	3.55379302	3.228029338	5.754341858	4.334666836	3.23769701	0.186909911	2.008517775	0.365034177	1.590808682	3.990443091	5.393000195	3.441798987	4.375509935	5.29698666	4.171185835	4.545058626	4.67002525	6.429498961	7.259116246	6.629956281	6.89053429	6.852345879	4.245149367	4.901504389	6.845781961	4.845035517	5.094892641	5.52517046	5.79398688	5.626848796	5.605738301	5.46827834	5.164156769	3.962659662	
Lower middle income	LMC	GDP per capita (constant 2010 US$)	NY.GDP.PCAP.KD	579.3459987	578.6119368	577.9960343	609.0225201	635.2322185	633.2252782	622.8260949	623.2714048	634.7029785	669.8172392	709.6910157	718.7220619	724.0640254	738.5011173	757.2582269	768.5637541	791.6249791	818.9618907	832.1515313	823.4688592	840.931554	836.1649912	836.0733085	838.5578635	841.9637272	854.9335146	864.502731	871.676268	900.7146246	918.5644279	926.2846971	907.9527179	906.5252819	890.9629466	886.8370645	903.925706	934.0407835	947.5897533	970.377912	1002.929377	1025.86909	1053.532635	1083.60262	1133.595763	1195.440453	1253.544644	1317.94564	1385.408426	1421.0451	1467.045142	1542.731571	1592.294428	1647.947667	1712.735308	1784.949497	1857.514072	1932.966014	2009.254617	2082.905647	2134.995188	
Lower middle income	LMC	GDP per capita (constant LCU)	NY.GDP.PCAP.KN																																									0.180581874					0.166231043					0.159761749					0.155251147			0.151649444		
Lower middle income	LMC	GDP per capita (current LCU)	NY.GDP.PCAP.CN																																									1.147237409					1.09801941					1.094169211					1.056321635			1.037627396		
Lower middle income	LMC	GDP per capita (current US$)	NY.GDP.PCAP.CD	101.1046797	105.2953411	105.4804662	115.1661765	127.0406492	133.7277429	118.7763993	123.7131094	128.5452042	139.1145158	150.726187	153.1970841	159.8243357	183.3689961	225.2632539	241.9746731	250.2215073	276.2632352	306.389901	350.2727099	419.7917501	506.027301	488.3657735	452.3173795	426.1474828	440.9025304	452.3399234	483.4839663	485.7753495	469.7225549	493.6397188	446.6280236	454.5470347	431.431034	450.7477457	490.7921793	527.9183197	542.5221742	533.7390161	551.1429784	565.8610893	564.6421488	586.0241353	656.8637519	749.8052348	860.3011525	994.9548995	1199.322063	1321.734668	1312.448891	1542.731571	1708.697589	1775.966869	1842.809448	1929.081919	1884.581757	1921.074161	2037.373649	2091.390578	2174.439797	
Lower middle income	LMC	"GDP per capita, PPP (constant 2017 international $)"	NY.GDP.PCAP.PP.KD	479480	510298	536670	547412	600475	598028	700226	646034	620421	640537	693688	711866	761306	931555	909836	875645	948255	921432	928623.9	959106.8	1010701.1	1064491.1	1062279.6	1210191.249	1234053.836	1325989.02	1474114.571	1476874.06	1637974.7	1559021.32	2867.165093	2803.058578	2793.189576	2741.655299	2716.447889	2766.746931	2851.220231	2892.626235	2962.197273	3066.394984	3140.489321	3226.912992	3309.953127	3463.901128	3653.748787	3829.88366	4029.75724	4238.184428	4343.40979	4472.744296	4699.308834	4849.90735	5014.637827	5207.588131	5421.010081	5643.430259	5889.742562	6134.154073	6372.435746	6540.424543	
Lower middle income	LMC	"GDP per capita, PPP (current international $)"	NY.GDP.PCAP.PP.CD																															1746.830221	1771.561137	1814.793292	1833.355391	1869.223569	1950.752583	2053.25646	2119.989216	2198.30127	2312.373818	2421.046616	2541.239079	2648.697968	2825.308069	3059.417128	3309.991614	3587.955979	3874.501201	4047.027882	4214.077079	4481.587027	4720.646257	5052.755195	5281.075093	5447.809308	5616.863927	5859.279454	6134.146898	6527.660767	6829.846885	
Lower middle income	LMC	GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent)	EG.GDP.PUSE.KO.PP.KD											13.35420593	15.0805786	16.86747501	21.91284834	49.09047545	39.72633181	39.81468615	38.25036069	34.52073781	58.93520043	52.32143874	39.10281896	25.54079676	25.35255671	24.81202632	21.9458371	14.00449701	17.88273619	17.13061481	24.17725317	5.289008058	5.152362237	5.313274473	5.363666137	5.50986716	5.539153096	5.750033469	5.810692463	5.948344386	6.041118498	6.204820324	6.368723448	6.457862393	6.65666533	6.871009572	7.093158459	7.349826534	7.538740695	7.615647374	7.701862125	7.821422089	7.925945422	7.999042263	8.358809144	8.668329597	17.21745234	14.23647566	18.08338136	22.99997038		
Lower middle income	LMC	"GDP, PPP (constant 2017 international $)"	NY.GDP.MKTP.PP.KD																															5.06124E+12	5.05742E+12	5.14893E+12	5.16098E+12	5.21904E+12	5.4233E+12	5.70037E+12	5.89666E+12	6.15469E+12	6.49093E+12	6.77021E+12	7.08173E+12	7.39221E+12	7.87031E+12	8.44363E+12	9.00003E+12	9.62761E+12	1.02926E+13	1.07201E+13	1.12173E+13	1.19746E+13	1.25538E+13	1.31808E+13	1.38979E+13	1.46865E+13	1.55184E+13	1.6436E+13	1.73687E+13	1.83042E+13	1.90546E+13	
Lower middle income	LMC	"GDP, PPP (current international $)"	NY.GDP.MKTP.PP.CD																20.47158508		10.19651231	5.572217279	5.498925582	6.850598083	5.11498729	5.203785702	4.794680906	4.489554235	6.553080987	7.243017313	7.530272793	6.297118173	5.084092993	3.08358E+12	3.19634E+12	3.34537E+12	3.45117E+12	3.59129E+12	3.82381E+12	4.10502E+12	4.32163E+12	4.56751E+12	4.89482E+12	5.21925E+12	5.57696E+12	5.91541E+12	6.41937E+12	7.07016E+12	7.77831E+12	8.57209E+12	9.40934E+12	9.98862E+12	1.05686E+13	1.14198E+13	1.22192E+13	1.3281E+13	1.4094E+13	1.47591E+13	1.54454E+13	1.6351E+13	1.73686E+13	1.875E+13	1.98978E+13	
Middle East & North Africa	MEA	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG										11.57811886	18.47654919	12.27843276	16.25968137	11.90851895	9.946166876	-2.426992805	15.19243272	3.300275231	-4.797369946	4.694496154	-1.032765187	1.54959225	-1.952695313	-2.673779753	-1.222485181	-0.693240425	0.937584855	0.166372968	3.096334618	2.842572986	13.11951914	4.20447452	4.699651659	2.849810211	2.66755043	3.336919119	4.724509184	3.381915882	4.564001528	1.739177969	5.764757369	1.194771912	1.592949879	5.488414981	8.026486774	5.068177287	6.04278683	5.167131224	4.504682227	0.50203645	4.983569956	3.75082637	3.890843094	2.792682168	2.946918073	2.431372119	5.020223921	1.554407756	0.954019155	0.4700522	
Middle East & North Africa	MEA	GDP per capita (constant 2010 US$)	NY.GDP.PCAP.KD									3433.648911	3726.612939	4294.99361	4692.402095	5309.653171	5780.690765	6182.163278	5864.823829	6565.178967	6587.337267	6087.425549	6180.104643	5925.389443	5824.676702	5524.80787	5200.948539	4971.17065	4779.604022	4674.515953	4540.3449	4543.678688	4541.702764	4960.479427	5033.77584	5178.882106	5200.188957	5218.52279	5247.296693	5383.356087	5456.112693	5597.092744	5587.793145	5799.523219	5759.758848	5743.097951	5944.866676	6298.653102	6486.55609	6737.332817	6936.152837	7093.87834	6977.411157	7172.643418	7290.052252	7422.407313	7480.74351	7554.620544	7594.92799	7833.17021	7816.878601	7756.837748	7660.293829	
Middle East & North Africa	MEA	GDP per capita (constant LCU)	NY.GDP.PCAP.KN																																									2.443453234					2.430222274					2.382879206					2.461906019			2.433924666		
Middle East & North Africa	MEA	GDP per capita (current LCU)	NY.GDP.PCAP.CN																																									9.412446639					9.220331676					9.063276504					9.372869157			9.266789132		
Middle East & North Africa	MEA	GDP per capita (current US$)	NY.GDP.PCAP.CD									247.6266492	267.9961012	300.0466518	336.6268484	400.6954292	523.8124787	924.5916286	981.4451197	1184.471268	1333.725134	1375.352351	1742.603227	2174.720956	2175.989266	2109.256203	2075.16795	2036.494292	2004.278231	1990.17566	1775.604279	1712.946159	1714.803809	2167.313942	2125.905453	2273.768161	2235.431769	2278.011314	2478.461749	2748.523113	2795.604865	2665.608441	2800.981848	3066.006239	3017.262561	2944.184445	3256.715119	3738.733873	4410.727691	5056.768481	5868.592642	7181.107339	6278.538852	7172.643418	8327.377895	8897.037306	8655.902047	8541.767481	7383.279894	7277.532087	7416.585843	7943.946907	7991.129005	
Middle East & North Africa	MEA	"GDP per capita, PPP (constant 2017 international $)"	NY.GDP.PCAP.PP.KD	31823	38713	38563	36463	38023	41573	45093	46373	47763	50563	53532	52182	56852	59650	63999	65490	61411	75415	76607	72800	69658	69328.789	69709.039	77034.154	79237.066	83675.82	80005.899	85598.03	96946.67	96159.611	10623.12506	10806.11581	11097.1382	11086.88676	11084.93131	11100.44788	11387.83703	11523.96074	11831.32418	11819.08994	12245.81831	12182.24152	12153.38967	12594.21692	13303.67224	13691.21503	14180.7843	14599.13796	14958.29081	14764.34987	15166.39887	15412.73158	15652.5427	15747.8239	15909.42353	16054.02604	16564.63759	16561.22617	16468.27878	16292.90571	
Middle East & North Africa	MEA	"GDP per capita, PPP (current international $)"	NY.GDP.PCAP.PP.CD																															7755.170225	8489.989194	8921.797088	9135.831017	9315.952238	9500.744149	9920.677036	10218.15914	10627.20631	10771.92174	11424.69503	11607.9597	11773.12558	12368.80226	13464.76125	14259.79374	15204.81829	16065.00147	16745.99318	16639.9346	17307.97448	17909.73961	18496.62484	18378.905	18070.18103	16293.14678	15944.47199	16583.45534	16912.03492	17057.7248	
